concept,F0,F102,F22,F24,F51,F53,F75,G0,G102,G22,G24,G51,G53,G75,M0,M102,M22,M24,M51,M53,M75,P0,P102,P22,P24,P51,P53,P75,S0,S102,S22,S24,S51,S53,S75
day,0.3885135135135135,0.4506578947368421,0.4736842105263158,0.46283783783783783,0.4797297297297297,0.40460526315789475,0.48355263157894735,0.4407894736842105,0.46283783783783783,0.4473684210526316,0.4736842105263158,0.40789473684210525,0.42105263157894735,0.38815789473684215,0.3815789473684211,0.4054054054054054,0.3918918918918919,0.4013157894736842,0.3717105263157895,0.40878378378378377,0.39144736842105265,0.46710526315789475,0.5098684210526315,0.46710526315789475,0.5131578947368421,0.4407894736842105,0.5164473684210527,0.45065789473684215,0.42434210526315785,0.4013157894736842,0.47039473684210525,0.4342105263157895,0.5328947368421053,0.4309210526315789,0.4111842105263158
disgust,0.2569444444444444,0.53125,0.3576388888888889,0.3333333333333333,0.3298611111111111,0.24305555555555555,0.3888888888888889,0.09375,0.4131944444444444,0.3142857142857143,0.31785714285714284,0.23214285714285712,0.22222222222222218,0.29513888888888895,0.20833333333333331,0.4513888888888889,0.24305555555555552,0.25,0.25,0.2847222222222222,0.3506944444444444,0.06597222222222224,0.39583333333333337,0.3888888888888889,0.3506944444444444,0.2847222222222222,0.28125,0.3472222222222222,0.4816176470588235,0.5451388888888888,0.5590277777777778,0.4756944444444444,0.4375,0.4305555555555556,0.5555555555555556
dress,0.3388157894736842,0.2631578947368421,0.33223684210526316,0.3223684210526316,0.3355263157894737,0.35855263157894735,0.3125,0.13851351351351351,0.05592105263157895,0.12171052631578946,0.10526315789473684,0.11513157894736843,0.1611842105263158,0.12828947368421054,0.5067567567567568,0.4111842105263158,0.5394736842105263,0.4901315789473685,0.5067567567567568,0.542763157894737,0.39144736842105265,0.11513157894736842,0.026315789473684213,0.09539473684210524,0.11513157894736846,0.08552631578947369,0.09210526315789473,0.07894736842105261,0.1743421052631579,0.11111111111111109,0.14473684210526316,0.1743421052631579,0.10472972972972974,0.16776315789473684,0.09121621621621621
driving,0.5220588235294118,0.4375,0.4779411764705882,0.40808823529411764,0.4154411764705882,0.4338235294117647,0.400735294117647,0.4485294117647059,0.4558823529411765,0.5330882352941175,0.6029411764705882,0.48161764705882354,0.5492424242424242,0.5661764705882353,0.40808823529411764,0.375,0.39338235294117646,0.39338235294117646,0.4742647058823529,0.3787878787878788,0.45588235294117646,0.4375,0.4485294117647059,0.4485294117647059,0.5625,0.46691176470588236,0.46590909090909094,0.4810606060606061,0.3161764705882353,0.34558823529411764,0.36764705882352944,0.4007352941176471,0.3125,0.3897058823529412,0.4227941176470588
drought,0.4340277777777778,0.5104166666666666,0.5277777777777778,0.5178571428571429,0.4409722222222222,0.5104166666666667,0.47916666666666663,0.2951388888888889,0.4618055555555556,0.5243055555555556,0.3229166666666667,0.3298611111111111,0.38541666666666663,0.36458333333333337,0.45833333333333337,0.425,0.4826388888888889,0.4548611111111111,0.4652777777777778,0.44791666666666663,0.43214285714285716,0.5,0.6041666666666666,0.5833333333333334,0.6006944444444444,0.4756944444444444,0.6076388888888888,0.6423611111111112,0.25,0.16319444444444445,0.17708333333333331,0.22916666666666669,0.1388888888888889,0.2013888888888889,0.11111111111111108
dusk,0.48684210526315785,0.4111842105263158,0.4440789473684211,0.45723684210526316,0.46710526315789475,0.45394736842105265,0.4375,0.4572368421052631,0.39473684210526316,0.43243243243243246,0.4473684210526316,0.40460526315789475,0.4144736842105263,0.4769736842105263,0.4934210526315789,0.5337837837837838,0.5098684210526315,0.5921052631578947,0.5,0.527027027027027,0.5164473684210527,0.4342105263157895,0.3782894736842105,0.3618421052631579,0.3980263157894737,0.31756756756756754,0.3355263157894737,0.39144736842105265,0.4440789473684211,0.375,0.4144736842105263,0.3717105263157895,0.41216216216216217,0.41776315789473684,0.4473684210526316
eating,0.20833333333333331,0.2977941176470588,0.2765151515151515,0.21323529411764705,0.26838235294117646,0.2803030303030303,0.20588235294117646,0.26838235294117646,0.21323529411764705,0.28308823529411764,0.2977941176470588,0.2537878787878788,0.30514705882352944,0.2536764705882353,0.20955882352941174,0.13970588235294118,0.1691176470588235,0.20220588235294118,0.18014705882352938,0.1764705882352941,0.2426470588235294,0.27941176470588236,0.23484848484848486,0.1323529411764706,0.20220588235294118,0.1948529411764706,0.28308823529411764,0.20588235294117646,0.31985294117647056,0.3088235294117647,0.3143939393939394,0.29411764705882354,0.2647058823529412,0.31985294117647056,0.2941176470588235
efficiency,0.5067567567567568,0.30743243243243246,0.38175675675675674,0.36486486486486486,0.375,0.4831081081081081,0.32770270270270274,0.7263513513513513,0.36486486486486486,0.4864864864864865,0.5641891891891893,0.5472972972972973,0.6587837837837838,0.48648648648648657,0.39583333333333337,0.3344594594594595,0.3716216216216216,0.35135135135135137,0.35135135135135137,0.44256756756756754,0.3020833333333333,0.7094594594594594,0.35135135135135137,0.44594594594594594,0.4618055555555556,0.47297297297297297,0.5641891891891893,0.30067567567567566,0.32094594594594594,0.25675675675675674,0.2905405405405405,0.30067567567567566,0.3277027027027027,0.31756756756756754,0.2702702702702703
eggplant,0.7178571428571429,0.15,0.20714285714285713,0.29285714285714287,0.225,0.46785714285714286,0.21785714285714286,0.75,0.11428571428571428,0.2389705882352941,0.47857142857142854,0.36428571428571427,0.5178571428571429,0.2647058823529412,0.23214285714285712,0.12857142857142856,0.19642857142857142,0.25735294117647056,0.1142857142857143,0.20000000000000004,0.16071428571428573,0.5964285714285714,0.06785714285714287,0.04642857142857143,0.12867647058823528,0.11785714285714284,0.23571428571428568,0.05514705882352941,0.6714285714285715,0.20714285714285713,0.26785714285714285,0.41428571428571426,0.21071428571428572,0.6948529411764706,0.23928571428571427
evil,0.12847222222222224,0.33333333333333337,0.3194444444444444,0.19444444444444448,0.2673611111111111,0.1423611111111111,0.30208333333333337,0.1597222222222222,0.6076388888888888,0.4236111111111111,0.2743055555555556,0.3923611111111111,0.23571428571428568,0.3263888888888889,0.125,0.33333333333333337,0.19097222222222224,0.2013888888888889,0.19791666666666669,0.14930555555555555,0.2534722222222222,0.28125,0.7708333333333334,0.8402777777777778,0.6284722222222222,0.5972222222222222,0.4826388888888889,0.5555555555555556,0.30902777777777785,0.3819444444444444,0.2986111111111111,0.31597222222222215,0.28125,0.27083333333333337,0.2951388888888889
