concept,texture_id,avg_rating
celery,P53,0.3821428571428571
celery,P75,0.2035714285714286
celery,S0,0.275
celery,S102,0.13214285714285717
celery,S22,0.18382352941176472
celery,S24,0.18928571428571428
celery,S51,0.5535714285714286
celery,S53,0.25735294117647056
celery,S75,0.125
cherry,F0,0.4722222222222222
cherry,F102,0.19444444444444448
cherry,F22,0.18214285714285713
cherry,F24,0.20486111111111108
cherry,F51,0.19791666666666669
cherry,F53,0.2916666666666667
cherry,F75,0.19285714285714287
cherry,G0,0.6111111111111112
cherry,G102,0.25
cherry,G22,0.33333333333333337
cherry,G24,0.45833333333333337
cherry,G51,0.37857142857142856
cherry,G53,0.5034722222222222
cherry,G75,0.3680555555555556
cherry,M0,0.15714285714285714
cherry,M102,0.1840277777777778
cherry,M22,0.15625
cherry,M24,0.13194444444444445
cherry,M51,0.1597222222222222
cherry,M53,0.16319444444444445
cherry,M75,0.1388888888888889
cherry,P0,0.4618055555555556
cherry,P102,0.14285714285714288
cherry,P22,0.09375
cherry,P24,0.17708333333333334
cherry,P51,0.1875
cherry,P53,0.2222222222222222
cherry,P75,0.1875
cherry,S0,0.5590277777777778
cherry,S102,0.3368055555555556
cherry,S22,0.2743055555555556
cherry,S24,0.3819444444444444
cherry,S51,0.34375
cherry,S53,0.5104166666666666
cherry,S75,0.42013888888888895
comfort,F0,0.652027027027027
comfort,F102,0.5236486486486487
comfort,F22,0.5608108108108109
comfort,F24,0.527027027027027
comfort,F51,0.581081081081081
comfort,F53,0.6317567567567568
comfort,F75,0.581081081081081
comfort,G0,0.3055555555555556
comfort,G102,0.09797297297297296
comfort,G22,0.21621621621621623
comfort,G24,0.22297297297297297
comfort,G51,0.17905405405405406
comfort,G53,0.2972972972972973
comfort,G75,0.22635135135135137
comfort,M0,0.6452702702702703
comfort,M102,0.5405405405405406
comfort,M22,0.668918918918919
comfort,M24,0.6790540540540541
comfort,M51,0.5945945945945946
comfort,M53,0.6824324324324325
comfort,M75,0.597972972972973
comfort,P0,0.23648648648648649
comfort,P102,0.08108108108108106
comfort,P22,0.125
comfort,P24,0.10472972972972974
comfort,P51,0.11148648648648647
comfort,P53,0.16666666666666669
comfort,P75,0.14189189189189189
comfort,S0,0.3918918918918919
comfort,S102,0.5
comfort,S22,0.4797297297297297
comfort,S24,0.4290540540540541
comfort,S51,0.46283783783783783
comfort,S53,0.49324324324324326
comfort,S75,0.48986486486486486
corn,F0,0.15
corn,F102,0.625
corn,F22,0.18214285714285713
corn,F24,0.15714285714285714
corn,F51,0.24285714285714283
corn,F53,0.1142857142857143
corn,F75,0.5964285714285714
corn,G0,0.08214285714285714
corn,G102,0.6714285714285714
corn,G22,0.4392857142857143
corn,G24,0.24285714285714283
corn,G51,0.15714285714285714
corn,G53,0.11785714285714284
corn,G75,0.6035714285714285
corn,M0,0.10714285714285715
corn,M102,0.6285714285714286
corn,M22,0.2058823529411765
corn,M24,0.1392857142857143
corn,M51,0.24642857142857144
corn,M53,0.08928571428571429
corn,M75,0.5964285714285714
corn,P0,0.07142857142857144
corn,P102,0.6214285714285714
corn,P22,0.3142857142857143
corn,P24,0.3607142857142857
corn,P51,0.24285714285714283
corn,P53,0.16071428571428573
corn,P75,0.6892857142857143
corn,S0,0.13571428571428573
corn,S102,0.75
corn,S22,0.3345588235294118
corn,S24,0.30357142857142855
corn,S51,0.25357142857142856
corn,S53,0.17857142857142855
corn,S75,0.7607142857142857
dawn,F0,0.45394736842105265
dawn,F102,0.4459459459459459
dawn,F22,0.41776315789473684
dawn,F24,0.45065789473684215
dawn,F51,0.48355263157894735
dawn,F53,0.5526315789473684
dawn,F75,0.45065789473684215
dawn,G0,0.3618421052631579
dawn,G102,0.3519736842105263
dawn,G22,0.3059210526315789
dawn,G24,0.35855263157894735
dawn,G51,0.3848684210526316
dawn,G53,0.40460526315789475
dawn,G75,0.3059210526315789
dawn,M0,0.49662162162162166
dawn,M102,0.5032894736842105
dawn,M22,0.4358108108108108
dawn,M24,0.5789473684210527
dawn,M51,0.4605263157894737
dawn,M53,0.5131578947368421
dawn,M75,0.5164473684210527
dawn,P0,0.375
dawn,P102,0.2894736842105263
dawn,P22,0.2730263157894737
dawn,P24,0.28289473684210525
dawn,P51,0.29605263157894735
dawn,P53,0.2861842105263158
dawn,P75,0.24013157894736842
dawn,S0,0.3651315789473684
dawn,S102,0.3881578947368421
dawn,S22,0.40789473684210525
dawn,S24,0.42105263157894735
dawn,S51,0.42105263157894735
dawn,S53,0.3815789473684211
dawn,S75,0.3618421052631579
day,F0,0.3885135135135135
day,F102,0.4506578947368421
day,F22,0.4736842105263158
day,F24,0.46283783783783783
day,F51,0.4797297297297297
day,F53,0.40460526315789475
day,F75,0.48355263157894735
day,G0,0.4407894736842105
day,G102,0.46283783783783783
day,G22,0.4473684210526316
day,G24,0.4736842105263158
day,G51,0.40789473684210525
day,G53,0.42105263157894735
day,G75,0.38815789473684215
day,M0,0.3815789473684211
day,M102,0.4054054054054054
day,M22,0.3918918918918919
day,M24,0.4013157894736842
day,M51,0.3717105263157895
day,M53,0.40878378378378377
day,M75,0.39144736842105265
day,P0,0.46710526315789475
day,P102,0.5098684210526315
day,P22,0.46710526315789475
day,P24,0.5131578947368421
day,P51,0.4407894736842105
day,P53,0.5164473684210527
day,P75,0.45065789473684215
day,S0,0.42434210526315785
day,S102,0.4013157894736842
day,S22,0.47039473684210525
day,S24,0.4342105263157895
day,S51,0.5328947368421053
day,S53,0.4309210526315789
day,S75,0.4111842105263158
disgust,F0,0.2569444444444444
disgust,F102,0.53125
disgust,F22,0.3576388888888889
disgust,F24,0.3333333333333333
disgust,F51,0.3298611111111111
disgust,F53,0.24305555555555555
disgust,F75,0.3888888888888889
disgust,G0,0.09375
disgust,G102,0.4131944444444444
disgust,G22,0.3142857142857143
disgust,G24,0.31785714285714284
disgust,G51,0.23214285714285712
disgust,G53,0.22222222222222218
disgust,G75,0.29513888888888895
disgust,M0,0.20833333333333331
disgust,M102,0.4513888888888889
disgust,M22,0.24305555555555552
disgust,M24,0.25
disgust,M51,0.25
disgust,M53,0.2847222222222222
disgust,M75,0.3506944444444444
disgust,P0,0.06597222222222224
disgust,P102,0.39583333333333337
disgust,P22,0.3888888888888889
disgust,P24,0.3506944444444444
disgust,P51,0.2847222222222222
disgust,P53,0.28125
disgust,P75,0.3472222222222222
disgust,S0,0.4816176470588235
disgust,S102,0.5451388888888888
disgust,S22,0.5590277777777778
disgust,S24,0.4756944444444444
disgust,S51,0.4375
disgust,S53,0.4305555555555556
disgust,S75,0.5555555555555556
dress,F0,0.3388157894736842
dress,F102,0.2631578947368421
dress,F22,0.33223684210526316
dress,F24,0.3223684210526316
dress,F51,0.3355263157894737
dress,F53,0.35855263157894735
dress,F75,0.3125
dress,G0,0.13851351351351351
dress,G102,0.05592105263157895
dress,G22,0.12171052631578946
dress,G24,0.10526315789473684
dress,G51,0.11513157894736843
dress,G53,0.1611842105263158
dress,G75,0.12828947368421054
dress,M0,0.5067567567567568
dress,M102,0.4111842105263158
dress,M22,0.5394736842105263
dress,M24,0.4901315789473685
dress,M51,0.5067567567567568
dress,M53,0.542763157894737
dress,M75,0.39144736842105265
dress,P0,0.11513157894736842
dress,P102,0.026315789473684213
dress,P22,0.09539473684210524
dress,P24,0.11513157894736846
dress,P51,0.08552631578947369
dress,P53,0.09210526315789473
dress,P75,0.07894736842105261
dress,S0,0.1743421052631579
dress,S102,0.11111111111111109
dress,S22,0.14473684210526316
dress,S24,0.1743421052631579
dress,S51,0.10472972972972974
dress,S53,0.16776315789473684
dress,S75,0.09121621621621621
driving,F0,0.5220588235294118
driving,F102,0.4375
driving,F22,0.4779411764705882
driving,F24,0.40808823529411764
driving,F51,0.4154411764705882
driving,F53,0.4338235294117647
driving,F75,0.400735294117647
driving,G0,0.4485294117647059
driving,G102,0.4558823529411765
driving,G22,0.5330882352941175
driving,G24,0.6029411764705882
driving,G51,0.48161764705882354
driving,G53,0.5492424242424242
driving,G75,0.5661764705882353
driving,M0,0.40808823529411764
driving,M102,0.375
driving,M22,0.39338235294117646
driving,M24,0.39338235294117646
driving,M51,0.4742647058823529
driving,M53,0.3787878787878788
driving,M75,0.45588235294117646
driving,P0,0.4375
driving,P102,0.4485294117647059
driving,P22,0.4485294117647059
driving,P24,0.5625
driving,P51,0.46691176470588236
driving,P53,0.46590909090909094
driving,P75,0.4810606060606061
driving,S0,0.3161764705882353
driving,S102,0.34558823529411764
driving,S22,0.36764705882352944
driving,S24,0.4007352941176471
driving,S51,0.3125
driving,S53,0.3897058823529412
driving,S75,0.4227941176470588
drought,F0,0.4340277777777778
drought,F102,0.5104166666666666
drought,F22,0.5277777777777778
drought,F24,0.5178571428571429
drought,F51,0.4409722222222222
drought,F53,0.5104166666666667
drought,F75,0.47916666666666663
drought,G0,0.2951388888888889
drought,G102,0.4618055555555556
drought,G22,0.5243055555555556
drought,G24,0.3229166666666667
drought,G51,0.3298611111111111
drought,G53,0.38541666666666663
drought,G75,0.36458333333333337
drought,M0,0.45833333333333337
drought,M102,0.425
drought,M22,0.4826388888888889
drought,M24,0.4548611111111111
drought,M51,0.4652777777777778
drought,M53,0.44791666666666663
drought,M75,0.43214285714285716
drought,P0,0.5
drought,P102,0.6041666666666666
drought,P22,0.5833333333333334
drought,P24,0.6006944444444444
drought,P51,0.4756944444444444
drought,P53,0.6076388888888888
drought,P75,0.6423611111111112
drought,S0,0.25
drought,S102,0.16319444444444445
drought,S22,0.17708333333333331
drought,S24,0.22916666666666669
drought,S51,0.1388888888888889
drought,S53,0.2013888888888889
drought,S75,0.11111111111111108
dusk,F0,0.48684210526315785
dusk,F102,0.4111842105263158
dusk,F22,0.4440789473684211
dusk,F24,0.45723684210526316
dusk,F51,0.46710526315789475
dusk,F53,0.45394736842105265
dusk,F75,0.4375
dusk,G0,0.4572368421052631
dusk,G102,0.39473684210526316
dusk,G22,0.43243243243243246
dusk,G24,0.4473684210526316
dusk,G51,0.40460526315789475
dusk,G53,0.4144736842105263
